file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,e3f260de,Haris Saif,2025-01-10,19:33:39,-08:00,2025-01-10T19:33:39-08:00,0,5
style.css,2,css,e3f260de,Haris Saif,2025-01-10,19:33:39,-08:00,2025-01-10T19:33:39-08:00,0,44
style.css,3,css,e3f260de,Haris Saif,2025-01-10,19:33:39,-08:00,2025-01-10T19:33:39-08:00,0,43
style.css,4,css,e3f260de,Haris Saif,2025-01-10,19:33:39,-08:00,2025-01-10T19:33:39-08:00,0,1
style.css,5,css,e3f260de,Haris Saif,2025-01-10,19:33:39,-08:00,2025-01-10T19:33:39-08:00,0,24
style.css,6,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,16
style.css,7,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,17
style.css,8,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
style.css,9,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,25
style.css,10,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,19
style.css,11,css,e3f260de,Haris Saif,2025-01-10,19:33:39,-08:00,2025-01-10T19:33:39-08:00,0,0
style.css,12,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,13,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,15
style.css,14,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,17
style.css,15,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,16,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,17,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,4
style.css,18,css,49fceaed,Haris Saif,2025-01-25,21:32:00,-08:00,2025-01-25T21:32:00-08:00,0,40
style.css,19,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,13
style.css,20,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,12
style.css,21,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,42
style.css,22,css,49fceaed,Haris Saif,2025-01-25,21:32:00,-08:00,2025-01-25T21:32:00-08:00,0,39
style.css,23,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,24,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,25,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,6
style.css,26,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,7
style.css,27,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,21
style.css,28,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,14
style.css,29,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
style.css,30,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
